cue,start,end,track,prayer_section,crossfade_in_seconds,crossfade_out_seconds,gain_db,target_music_lufs,notes
C01,00:00.000,01:34.110,01_Valley_Sunset_Alejandro_Magana_Mixkit.mp3,Pause Hook and Opening Scripture,4,8,-18.0,-35.0,Keep the opening sparse beneath the missing list guilt and first Lamentations promise
C02,01:26.110,03:08.720,02_Wedding_01_Francisco_Alvear_Mixkit.mp3,New Mercy Scripture Reflection,8,8,-18.0,-34.5,Warm gently as the three truths of new compassion lead into the first thank you
C03,03:00.720,05:51.024,03_Vastness_Andrew_Ev_Mixkit.mp3,Gratitude and Worship,8,8,-20.5,-34.5,Open the space for ordinary light unseen protection Gods character and the cross
C04,05:43.024,08:04.534,No.7 Alone With My Thoughts - Esther Abrami.mp3,Confession Guilt and Surrender,8,8,-19.0,-35.5,Most vulnerable bed for unnoticed gifts numb gratitude and setting down control
C05,07:56.534,10:39.688,04_Tapis_Eugenio_Mininni_Mixkit.mp3,Mercy That Never Runs Out,8,8,-20.0,-35.0,Hold steady under repeated failure fresh compassion the cross and mercy extended to others
C06,10:31.688,13:36.222,03_Vastness_Andrew_Ev_Mixkit.mp3,Grace Sufficient for Today,8,8,-20.8,-34.5,Create calm forward motion for weakness the next step ordinary work and grace after failure
C07,13:28.222,15:59.158,05_Forest_Mist_Whispers_Alejandro_Magana_Mixkit.mp3,Open Our Eyes to Present Blessings,8,8,-20.0,-35.0,Keep intimate under the glass of water James chapter one and ordinary gifts already present
C08,15:51.158,18:13.210,No.7 Alone With My Thoughts - Esther Abrami.mp3,Intercession for Waiting Grief and Caregivers,8,8,-19.0,-35.5,Leave extra space for those without gratitude unanswered prayer grief and unseen caregiving
C09,18:05.210,20:45.000,03_Vastness_Andrew_Ev_Mixkit.mp3,Intercession into Personal Faith,8,8,-20.8,-34.0,Widen from gratitude in the home into the personal choice to thank God even if nothing changes
C10,20:37.000,22:18.000,06_Skyline_Eugenio_Mininni_Mixkit.mp3,Choosing God and Faith Response,8,8,-23.0,-32.5,Lift quietly for wanting God above his gifts choosing him and carrying mercy into the day
C11,22:10.000,23:39.753,07_Rest_Now_Eugenio_Mininni_Mixkit.mp3,Benediction and CTA,8,6,-18.0,-33.5,Hold the golden resolution; automate to minus 19 dB at 22:48.374 for CTA and fade out over the final six seconds
