ma_beat,y_chinh,tu_khoa,hinh_can_tim,tranh,kich_ban
"B001","The day begins with attention fixed on what is missing","ocean blue hour,calm sea before sunrise,coast dawn wide","A calm ocean rests under a cool blue pre-sunrise sky, with slow waves and ample negative space.","sunset, storm, harsh orange, people, fast camera","You woke up this morning, and before your feet touched the floor, your mind had already made a list. Not a list of what you have. A list of what is still missing."
"B002","Dread and guilt quietly rise before gratitude","wet coastal rocks dawn,gentle waves blue hour,cloudy ocean morning","Gentle dark waves move around wet coastal rocks in blue hour, holding quiet tension without becoming gloomy.","storm waves, sunset, dramatic cliffs, people, fast motion","The conversation you are dreading. The thing that has still not changed. And underneath it all, a quieter thought. I know I should be thankful. I just do not feel it today. And that feels like guilt."
"B003","The listener releases the list and opens to prayer","open hands beach dawn,silhouette coast blue hour,shoreline breathing morning","A small back-view silhouette pauses at the shoreline with open hands low in frame as the horizon begins to brighten.","face, eye contact, acting, sunset, yoga pose","So before the day asks anything of you, let us set that list down. Just for a few minutes. You can pick it up again later. Take one slow breath. And instead of holding your hands closed, open them."
"B004","New mercy is revealed through Scripture and first light","open Bible ocean sunrise,Bible coast dawn,ocean sun rising","An open Bible rests near the coast as the first visible sun rises softly over the ocean horizon.","wrong readable text, face, sunset, harsh flare, glowing effects","There is a line in the saddest book in the Bible. Lamentations chapter three, verses twenty-two and twenty-three. Because of the Lord's great love we are not consumed, for his compassions never fail. They are new every morning. Great is your faithfulness. Notice the word new. Not leftover. Not what remained after yesterday used up its share."
"B005","Fresh mercy was waiting before the listener woke","ocean sunrise aerial,sun rising sea horizon,golden coast dawn","Slow aerial footage reveals the sun lifting over a calm ocean, with soft gold beginning to cross the water.","sunset, midday, blown highlights, fast drone, tourism spectacle","New. Whatever you spent yesterday, this morning has its own supply, and it was here before you woke. If mornings like this are hard for you, subscribe and pray with us. You were never meant to start them alone."
"B006","Prayer turns attention toward mercy grace and blessings","shoreline first light,coast morning wide,waves catching sunrise","A wide shoreline receives gentle first light while small waves move steadily toward the brightening coast.","sunset, crowds, harsh orange, fast camera, commercial beach","In the next few minutes, we are not asking God for one more thing. We are asking him to open our eyes to mercy, grace, and the blessings that have been here the whole time. Wherever you are, let us come to him together."
"B007","God's compassion carries what pain could not finish","sunrise over calm sea,ocean horizon morning,steady coastal rock","The visible morning sun clears the ocean horizon while a steady rock remains surrounded by gentle water.","sunset, storm, harsh flare, dramatic waves, people","His compassions never fail. They are new every morning. Read it again slowly, because there are three quiet things hidden in that sentence. The first is this. We are not consumed. It does not say we were never hurt. It does not say nothing broke. It says we were not finished off. Something held."
"B008","Mercy remains abundant and does not wear thin","waves around rocks sunrise,golden sea ripples,calm ocean close up","Soft sunrise ripples move around coastal stones, showing quiet endurance and an unbroken supply of water.","storm, flood, sunset, harsh contrast, people","Something carried us through a year we did not think we could carry. That is not luck, and it is not our own strength. The second is this. His compassions never fail. Mercy does not thin out because it has been asked for too often."
"B009","Nothing exhausts compassion and every morning is new","seabirds ocean dawn,birds coast sunrise,brightening sea horizon","A few seabirds begin flying calmly over a brightening sea as the horizon opens into a new morning.","feeding frenzy, hunting, sunset, crowded beach, fast motion","There is no register in heaven where our name has appeared too many times. Nothing about us has ever worn you down, and nothing about us ever will. And the third is the one we need most this morning. New every morning. Not warmed over. Not the portion left from yesterday."
"B010","Fresh mercy reaches this specific morning","sun reflection ocean,golden shoreline morning,waves light close up","A narrow path of sunlight shimmers across gentle waves and reaches the wet shoreline.","sunset, harsh flare, red grading, people, fast waves","God did not hand us the remainder of what we failed to use. He opened something fresh while we were still asleep and unaware of it. Lord, we have heard these words before. Many of us have read them on a wall, or on a card, or at the beginning of a hard year."
